no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL,bookDtlUrl
166,166,이기적 유전자 ,리처드 도킨스 지음 ;이상임 옮김,을유문화사,2018,9788932473901,03470,,491.51,자연과학 > 동물학 > 일반 동물학,90,https://image.aladin.co.kr/product/17048/25/cover/8932473900_1.jpg,https://data4library.kr/bookV?seq=3921678
167,167,아가미 :구병모 장편소설 ,지은이: 구병모,자음과모음,2011,9788957075425,03810,,813.7,문학 > 한국문학 > 소설,89,http://image.aladin.co.kr/product/1103/66/cover/8957075429_1.jpg,https://data4library.kr/bookV?seq=1156213
168,167,연금술사,파울로 코엘료 지음;최정수 옮김,문학동네,2001,9788982814471,03860,,879,문학 > 스페인문학 > 포르투갈문학,89,http://image.aladin.co.kr/product/30/73/cover/8982814477_2.jpg,https://data4library.kr/bookV?seq=126479
169,197,지적 대화를 위한 넓고 얕은 지식,채사장 지음,한빛비즈,2014,9788994120966,13100,1,001.3,"총류 > 총류 > 지식, 학문 일반",79,https://bookthumb-phinf.pstatic.net/cover/084/030/08403038.jpg?type=m1&udate=20171223,https://data4library.kr/bookV?seq=2396928
170,167,(비울수록 사람을 더 채우는) 말그릇 ,김윤나 지음,카시오페아,2017,9791185952987,03190,,189.2,철학 > 심리학 > 응용심리학 일반,89,https://image.aladin.co.kr/product/15652/80/cover/k282533034_1.jpg,https://data4library.kr/bookV?seq=3614517
171,171,천문학자는 별을 보지 않는다 ,심채경 지음,문학동네,2021,9788954677257,03810,,440.4,자연과학 > 천문학 > 천문학,88,https://image.aladin.co.kr/product/26429/15/cover/8954677258_1.jpg,https://data4library.kr/bookV?seq=5926266
172,171,체공녀 강주룡 :박서련 장편소설 ,지은이: 박서련,한겨레출판,2018,9791160401745,03810,,813.7,문학 > 한국문학 > 소설,88,https://image.aladin.co.kr/product/15651/44/cover/k712533032_1.jpg,https://data4library.kr/bookV?seq=3836280
173,171,미움받을 용기 :사랑과 진정한 자립에 대한 아들러의 가르침,"기시미 이치로,전경아 옮김",인플루엔셜,2016,9791186560129,03180,2,189.2,철학 > 심리학 > 응용심리학 일반,88,http://image.aladin.co.kr/product/8123/68/cover/k782434140_2.jpg,https://data4library.kr/bookV?seq=3139929
174,174,오직 두 사람 :김영하 소설 ,지은이: 김영하,문학동네,2017,9788954645614,03810,,813.62,문학 > 한국문학 > 소설,86,http://image.aladin.co.kr/product/10949/50/cover/8954645615_2.jpg,https://data4library.kr/bookV?seq=3440172
175,174,복자에게 :김금희 장편소설 ,지은이: 김금희,문학동네,2020,9788954674492,03810,,813.7,문학 > 한국문학 > 소설,86,https://image.aladin.co.kr/product/24977/7/cover/8954674496_1.jpg,https://data4library.kr/bookV?seq=5744698
176,176,창문 넘어 도망친 100세 노인 :요나스 요나손 장편소설 ,지은이: 요나스 요나손 ;옮긴이: 임호경,열린책들,2013,9788932916194,03850,,859.7,문학 > 독일문학 > 기타 게르만 문학,85,https://bookthumb-phinf.pstatic.net/cover/072/647/07264703.jpg?type=m1&udate=20180717,https://data4library.kr/bookV?seq=1959802
177,176,항구의 사랑 :김세희 장편소설 ,지은이: 김세희,민음사,2019,9788937473210,04810,,813.7,문학 > 한국문학 > 소설,85,https://image.aladin.co.kr/product/19386/22/cover/k232635112_1.jpg,https://data4library.kr/bookV?seq=5428404
178,176,실패를 사랑하는 직업 :요조 산문 ,지은이: 요조,마음산책,2021,9788960906600,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,85,https://image.aladin.co.kr/product/26212/83/cover/8960906603_2.jpg,https://data4library.kr/bookV?seq=5853174
179,176,작가들의 비밀스러운 삶 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 양영란,밝은세상,2019,9788984373853,,,863,문학 > 프랑스문학 > 소설,85,https://image.aladin.co.kr/product/21672/22/cover/8984373850_1.jpg,https://data4library.kr/bookV?seq=5521989
180,176,외국어 학습·교수의 원리 ,지은이: H. Douglas Brown ;이성희,피어슨 에듀케이션 코리아,2015,9791130629636,13740,,707,"언어 > 언어 > 지도법, 연구법 및 교육, 교육재료",85,https://image.aladin.co.kr/product/24054/10/cover/k772639730_2.jpg,https://data4library.kr/bookV?seq=5668706
181,176,숙명 ,히가시노 게이고 지음 ;권남희 옮김,소미미디어,2020,9791165077259,03830,,833.6,문학 > 일본문학 > 소설,85,https://image.aladin.co.kr/product/23975/96/cover/k162639017_1.jpg,https://data4library.kr/bookV?seq=5662335
182,176,우리는 이 별을 떠나기로 했어 ,"지은이: 천선란,이루카",허블,2021,9791190090377,03810,,813.7,문학 > 한국문학 > 소설,85,https://image.aladin.co.kr/product/26564/99/cover/k142738031_1.jpg,https://data4library.kr/bookV?seq=5930246
183,183,넛지 :똑똑한 선택을 이끄는 힘 ,"리처드 탈러,안진환 옮김",웅진씽크빅,2009,9788901093154,03320,,321.89,사회과학 > 경제학 > 경제각론,84,http://image.aladin.co.kr/product/358/75/cover/8901093154_3.jpg,https://data4library.kr/bookV?seq=2299430
184,183,나의 월급 독립 프로젝트 :3년 만에 30억 벌고 퇴사한 슈퍼개미의 실전 주식투자 생중계 ,유목민 지음,웅진씽크빅,2019,9788901230801,03320,,327.856,사회과학 > 경제학 > 금융,84,https://image.aladin.co.kr/product/18899/99/cover/8901230801_1.jpg,https://data4library.kr/bookV?seq=5393932
